Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,36263.0,1269.0,25198.0,9796.0,106.0,10.0,18.0,3.5,69.49,5.04,35526.0,737.0,2.07,Eastern Mediterranean
Albania,4880.0,144.0,2745.0,1991.0,117.0,6.0,63.0,2.95,56.25,5.25,4171.0,709.0,17.0,Europe
Andorra,907.0,52.0,803.0,52.0,10.0,0.0,0.0,5.73,88.53,6.48,884.0,23.0,2.6,Europe
Angola,950.0,41.0,242.0,667.0,18.0,1.0,0.0,4.32,25.47,16.94,749.0,201.0,26.84,Africa
Argentina,167416.0,3059.0,72575.0,91782.0,4890.0,120.0,2057.0,1.83,43.35,4.21,130774.0,36642.0,28.02,Americas
Australia,15303.0,167.0,9311.0,5825.0,368.0,6.0,137.0,1.09,60.84,1.79,12428.0,2875.0,23.13,Western Pacific
Austria,20558.0,713.0,18246.0,1599.0,86.0,1.0,37.0,3.47,88.75,3.91,19743.0,815.0,4.13,Europe
Bahamas,382.0,11.0,91.0,280.0,40.0,0.0,0.0,2.88,23.82,12.09,174.0,208.0,119.54,Americas
Barbados,110.0,7.0,94.0,9.0,0.0,0.0,0.0,6.36,85.45,7.45,106.0,4.0,3.77,Americas
Belarus,67251.0,538.0,60492.0,6221.0,119.0,4.0,67.0,0.8,89.95,0.89,66213.0,1038.0,1.57,Europe
Belgium,66428.0,9822.0,17452.0,39154.0,402.0,1.0,14.0,14.79,26.27,56.28,64094.0,2334.0,3.64,Europe
Belize,48.0,2.0,26.0,20.0,0.0,0.0,0.0,4.17,54.17,7.69,40.0,8.0,20.0,Americas
Benin,1770.0,35.0,1036.0,699.0,0.0,0.0,0.0,1.98,58.53,3.38,1602.0,168.0,10.49,Africa
Bolivia,71181.0,2647.0,21478.0,47056.0,1752.0,64.0,309.0,3.72,30.17,12.32,60991.0,10190.0,16.71,Americas
Bosnia And Herzegovina,10498.0,294.0,4930.0,5274.0,731.0,14.0,375.0,2.8,46.96,5.96,8479.0,2019.0,23.81,Europe
Botswana,739.0,2.0,63.0,674.0,53.0,1.0,11.0,0.27,8.53,3.17,522.0,217.0,41.57,Africa
Brunei,141.0,3.0,138.0,0.0,0.0,0.0,0.0,2.13,97.87,2.17,141.0,0.0,0.0,Western Pacific
Burkina Faso,1100.0,53.0,926.0,121.0,14.0,0.0,6.0,4.82,84.18,5.72,1065.0,35.0,3.29,Africa
Cameroon,17110.0,391.0,14539.0,2180.0,402.0,6.0,0.0,2.29,84.97,2.69,16157.0,953.0,5.9,Africa
Canada,116458.0,8944.0,0.0,107514.0,682.0,11.0,0.0,7.68,0.0,inf,112925.0,3533.0,3.13,Americas
Central African Republic,4599.0,59.0,1546.0,2994.0,0.0,0.0,0.0,1.28,33.62,3.82,4548.0,51.0,1.12,Africa
Chad,922.0,75.0,810.0,37.0,7.0,0.0,0.0,8.13,87.85,9.26,889.0,33.0,3.71,Africa
Chile,347923.0,9187.0,319954.0,18782.0,2133.0,75.0,1859.0,2.64,91.96,2.87,333029.0,14894.0,4.47,Americas
China,86783.0,4656.0,78869.0,3258.0,213.0,4.0,7.0,5.37,90.88,5.9,85622.0,1161.0,1.36,Western Pacific
Colombia,257101.0,8777.0,131161.0,117163.0,16306.0,508.0,11494.0,3.41,51.02,6.69,204005.0,53096.0,26.03,Americas
Comoros,354.0,7.0,328.0,19.0,0.0,0.0,0.0,1.98,92.66,2.13,334.0,20.0,5.99,Africa
Congo (Brazzaville),3200.0,54.0,829.0,2317.0,162.0,3.0,73.0,1.69,25.91,6.51,2851.0,349.0,12.24,Africa
Costa Rica,15841.0,115.0,3824.0,11902.0,612.0,11.0,88.0,0.73,24.14,3.01,11534.0,4307.0,37.34,Americas
Cuba,2532.0,87.0,2351.0,94.0,37.0,0.0,2.0,3.44,92.85,3.7,2446.0,86.0,3.52,Americas
Cyprus,1060.0,19.0,852.0,189.0,3.0,0.0,0.0,1.79,80.38,2.23,1038.0,22.0,2.12,Europe
Czechia,15516.0,373.0,11428.0,3715.0,192.0,2.0,0.0,2.4,73.65,3.26,14098.0,1418.0,10.06,Europe
Denmark,13761.0,613.0,12605.0,543.0,109.0,0.0,77.0,4.45,91.6,4.86,13453.0,308.0,2.29,Europe
Dominica,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,0.0,Americas
Ecuador,81161.0,5532.0,34896.0,40733.0,467.0,17.0,0.0,6.82,43.0,15.85,74620.0,6541.0,8.77,Americas
El Salvador,15035.0,408.0,7778.0,6849.0,405.0,8.0,130.0,2.71,51.73,5.25,12207.0,2828.0,23.17,Americas
Equatorial Guinea,3071.0,51.0,842.0,2178.0,0.0,0.0,0.0,1.66,27.42,6.06,3071.0,0.0,0.0,Africa
Eritrea,265.0,0.0,191.0,74.0,2.0,0.0,2.0,0.0,72.08,0.0,251.0,14.0,5.58,Africa
Eswatini,2316.0,34.0,1025.0,1257.0,109.0,2.0,39.0,1.47,44.26,3.32,1826.0,490.0,26.83,Africa
Ethiopia,14547.0,228.0,6386.0,7933.0,579.0,5.0,170.0,1.57,43.9,3.57,10207.0,4340.0,42.52,Africa
Fiji,27.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,66.67,0.0,27.0,0.0,0.0,Western Pacific
Finland,7398.0,329.0,6920.0,149.0,5.0,0.0,0.0,4.45,93.54,4.75,7340.0,58.0,0.79,Europe
France,220352.0,30212.0,81212.0,108928.0,2551.0,17.0,267.0,13.71,36.86,37.2,214023.0,6329.0,2.96,Europe
Gambia,326.0,8.0,66.0,252.0,49.0,2.0,6.0,2.45,20.25,12.12,112.0,214.0,191.07,Africa
Georgia,1137.0,16.0,922.0,199.0,6.0,0.0,2.0,1.41,81.09,1.74,1039.0,98.0,9.43,Europe
Germany,207112.0,9125.0,190314.0,7673.0,445.0,1.0,259.0,4.41,91.89,4.79,203325.0,3787.0,1.86,Europe
Ghana,33624.0,168.0,29801.0,3655.0,655.0,0.0,307.0,0.5,88.63,0.56,28430.0,5194.0,18.27,Africa
Greece,4227.0,202.0,1374.0,2651.0,34.0,0.0,0.0,4.78,32.51,14.7,4012.0,215.0,5.36,Europe
Greenland,14.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,92.86,0.0,13.0,1.0,7.69,Europe
Grenada,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,23.0,0.0,0.0,Americas
Guineabissau,1954.0,26.0,803.0,1125.0,0.0,0.0,0.0,1.33,41.1,3.24,1949.0,5.0,0.26,Africa
Guyana,389.0,20.0,181.0,188.0,19.0,0.0,0.0,5.14,46.53,11.05,337.0,52.0,15.43,Americas
Haiti,7340.0,158.0,4365.0,2817.0,25.0,1.0,0.0,2.15,59.47,3.62,7053.0,287.0,4.07,Americas
Holy See,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.0,0.0,0.0,Europe
Honduras,39741.0,1166.0,5039.0,33536.0,465.0,50.0,117.0,2.93,12.68,23.14,34611.0,5130.0,14.82,Americas
Hungary,4448.0,596.0,3329.0,523.0,13.0,0.0,0.0,13.4,74.84,17.9,4339.0,109.0,2.51,Europe
Iceland,1854.0,10.0,1823.0,21.0,7.0,0.0,0.0,0.54,98.33,0.55,1839.0,15.0,0.82,Europe
Iran,293606.0,15912.0,255144.0,22550.0,2434.0,212.0,1931.0,5.42,86.9,6.24,276202.0,17404.0,6.3,Eastern Mediterranean
Iraq,112585.0,4458.0,77144.0,30983.0,2553.0,96.0,1927.0,3.96,68.52,5.78,94693.0,17892.0,18.89,Eastern Mediterranean
Ireland,25892.0,1764.0,23364.0,764.0,11.0,0.0,0.0,6.81,90.24,7.55,25766.0,126.0,0.49,Europe
Israel,63985.0,474.0,27133.0,36378.0,2029.0,4.0,108.0,0.74,42.41,1.75,52003.0,11982.0,23.04,Europe
Italy,246286.0,35112.0,198593.0,12581.0,168.0,5.0,147.0,14.26,80.64,17.68,244624.0,1662.0,0.68,Europe
Jamaica,853.0,10.0,714.0,129.0,11.0,0.0,0.0,1.17,83.7,1.4,809.0,44.0,5.44,Americas
Japan,31142.0,998.0,21970.0,8174.0,594.0,0.0,364.0,3.2,70.55,4.54,25706.0,5436.0,21.15,Western Pacific
Jordan,1176.0,11.0,1041.0,124.0,8.0,0.0,0.0,0.94,88.52,1.06,1223.0,0.0,-3.84,Eastern Mediterranean
Kenya,17975.0,285.0,7833.0,9857.0,372.0,5.0,90.0,1.59,43.58,3.64,13771.0,4204.0,30.53,Africa
Kosovo,7413.0,185.0,4027.0,3201.0,496.0,16.0,274.0,2.5,54.32,4.59,5877.0,1536.0,26.14,Europe
Laos,20.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,95.0,0.0,19.0,1.0,5.26,Western Pacific
Latvia,1219.0,31.0,1045.0,143.0,0.0,0.0,0.0,2.54,85.73,2.97,1192.0,27.0,2.27,Europe
Lebanon,3882.0,51.0,1709.0,2122.0,132.0,0.0,17.0,1.31,44.02,2.98,2905.0,977.0,33.63,Eastern Mediterranean
Lesotho,505.0,12.0,128.0,365.0,0.0,0.0,0.0,2.38,25.35,9.38,359.0,146.0,40.67,Africa
Liberia,1167.0,72.0,646.0,449.0,5.0,0.0,5.0,6.17,55.36,11.15,1107.0,60.0,5.42,Africa
Libya,2827.0,64.0,577.0,2186.0,158.0,4.0,24.0,2.26,20.41,11.09,1980.0,847.0,42.78,Eastern Mediterranean
Liechtenstein,86.0,1.0,81.0,4.0,0.0,0.0,0.0,1.16,94.19,1.23,86.0,0.0,0.0,Europe
Lithuania,2019.0,80.0,1620.0,319.0,11.0,0.0,4.0,3.96,80.24,4.94,1947.0,72.0,3.7,Europe
Malawi,3664.0,99.0,1645.0,1920.0,24.0,0.0,6.0,2.7,44.9,6.02,2992.0,672.0,22.46,Africa
Malaysia,8904.0,124.0,8601.0,179.0,7.0,0.0,1.0,1.39,96.6,1.44,8800.0,104.0,1.18,Western Pacific
Mali,2513.0,124.0,1913.0,476.0,3.0,1.0,2.0,4.93,76.12,6.48,2475.0,38.0,1.54,Africa
Malta,701.0,9.0,665.0,27.0,1.0,0.0,0.0,1.28,94.86,1.35,677.0,24.0,3.55,Europe
Mauritius,344.0,10.0,332.0,2.0,0.0,0.0,0.0,2.91,96.51,3.01,343.0,1.0,0.29,Africa
Monaco,116.0,4.0,104.0,8.0,0.0,0.0,0.0,3.45,89.66,3.85,109.0,7.0,6.42,Europe
Montenegro,2893.0,45.0,809.0,2039.0,94.0,2.0,70.0,1.56,27.96,5.56,2188.0,705.0,32.22,Europe
Morocco,20887.0,316.0,16553.0,4018.0,609.0,3.0,115.0,1.51,79.25,1.91,17562.0,3325.0,18.93,Eastern Mediterranean
Mozambique,1701.0,11.0,0.0,1690.0,32.0,0.0,0.0,0.65,0.0,inf,1507.0,194.0,12.87,Africa
Namibia,1843.0,8.0,101.0,1734.0,68.0,0.0,26.0,0.43,5.48,7.92,1344.0,499.0,37.13,Africa
Netherlands,53413.0,6160.0,189.0,47064.0,419.0,1.0,0.0,11.53,0.35,3259.26,52132.0,1281.0,2.46,Europe
New Zealand,1557.0,22.0,1514.0,21.0,1.0,0.0,1.0,1.41,97.24,1.45,1555.0,2.0,0.13,Western Pacific
Nicaragua,3439.0,108.0,2492.0,839.0,0.0,0.0,0.0,3.14,72.46,4.33,3147.0,292.0,9.28,Americas
Niger,1132.0,69.0,1027.0,36.0,0.0,0.0,0.0,6.1,90.72,6.72,1105.0,27.0,2.44,Africa
Norway,9132.0,255.0,8752.0,125.0,15.0,0.0,0.0,2.79,95.84,2.91,9034.0,98.0,1.08,Europe
Panama,61442.0,1322.0,35086.0,25034.0,1146.0,28.0,955.0,2.15,57.1,3.77,54426.0,7016.0,12.89,Americas
Papua New Guinea,62.0,0.0,11.0,51.0,0.0,0.0,0.0,0.0,17.74,0.0,19.0,43.0,226.32,Western Pacific
Peru,389717.0,18418.0,272547.0,98752.0,13756.0,575.0,4697.0,4.73,69.93,6.76,357681.0,32036.0,8.96,Americas
Philippines,82040.0,1945.0,26446.0,53649.0,1592.0,13.0,336.0,2.37,32.24,7.35,68898.0,13142.0,19.07,Western Pacific
Poland,43402.0,1676.0,32856.0,8870.0,337.0,5.0,103.0,3.86,75.7,5.1,40383.0,3019.0,7.48,Europe
Romania,45902.0,2206.0,25794.0,17902.0,1104.0,19.0,151.0,4.81,56.19,8.55,38139.0,7763.0,20.35,Europe
Russia,816680.0,13334.0,602249.0,201097.0,5607.0,85.0,3077.0,1.63,73.74,2.21,776212.0,40468.0,5.21,Europe
Rwanda,1879.0,5.0,975.0,899.0,58.0,0.0,57.0,0.27,51.89,0.51,1629.0,250.0,15.35,Africa
Saint Kitts And Nevis,17.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,88.24,0.0,17.0,0.0,0.0,Americas
Saint Lucia,24.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,91.67,0.0,23.0,1.0,4.35,Americas
Saint Vincent And The Grenadines,52.0,0.0,39.0,13.0,0.0,0.0,0.0,0.0,75.0,0.0,50.0,2.0,4.0,Americas
San Marino,699.0,42.0,657.0,0.0,0.0,0.0,0.0,6.01,93.99,6.39,699.0,0.0,0.0,Europe
Senegal,9764.0,194.0,6477.0,3093.0,83.0,3.0,68.0,1.99,66.34,3.0,8948.0,816.0,9.12,Africa
Serbia,24141.0,543.0,0.0,23598.0,411.0,9.0,0.0,2.25,0.0,inf,21253.0,2888.0,13.59,Europe
Seychelles,114.0,0.0,39.0,75.0,0.0,0.0,0.0,0.0,34.21,0.0,108.0,6.0,5.56,Africa
Singapore,50838.0,27.0,45692.0,5119.0,469.0,0.0,171.0,0.05,89.88,0.06,48035.0,2803.0,5.84,Western Pacific
South Sudan,2305.0,46.0,1175.0,1084.0,43.0,1.0,0.0,2.0,50.98,3.91,2211.0,94.0,4.25,Africa
Spain,272421.0,28432.0,150376.0,93613.0,0.0,0.0,0.0,10.44,55.2,18.91,264836.0,7585.0,2.86,Europe
Suriname,1483.0,24.0,925.0,534.0,44.0,1.0,35.0,1.62,62.37,2.59,1079.0,404.0,37.44,Americas
Sweden,79395.0,5700.0,0.0,73695.0,398.0,3.0,0.0,7.18,0.0,inf,78048.0,1347.0,1.73,Europe
Syria,674.0,40.0,0.0,634.0,24.0,2.0,0.0,5.93,0.0,inf,522.0,152.0,29.12,Eastern Mediterranean
Taiwan,462.0,7.0,440.0,15.0,4.0,0.0,0.0,1.52,95.24,1.59,451.0,11.0,2.44,Western Pacific
Tanzania,509.0,21.0,183.0,305.0,0.0,0.0,0.0,4.13,35.95,11.48,509.0,0.0,0.0,Africa
Trinidad And Tobago,148.0,8.0,128.0,12.0,1.0,0.0,0.0,5.41,86.49,6.25,137.0,11.0,8.03,Americas
Us,4290259.0,148011.0,1325804.0,2816444.0,56336.0,1076.0,27941.0,3.45,30.9,11.16,3834677.0,455582.0,11.88,Americas
Uganda,1128.0,2.0,986.0,140.0,13.0,0.0,4.0,0.18,87.41,0.2,1069.0,59.0,5.52,Africa
Ukraine,67096.0,1636.0,37202.0,28258.0,835.0,11.0,317.0,2.44,55.45,4.4,60767.0,6329.0,10.42,Europe
United Kingdom,301708.0,45844.0,1437.0,254427.0,688.0,7.0,3.0,15.19,0.48,3190.26,296944.0,4764.0,1.6,Europe
Uruguay,1202.0,35.0,951.0,216.0,10.0,1.0,3.0,2.91,79.12,3.68,1064.0,138.0,12.97,Americas
Uzbekistan,21209.0,121.0,11674.0,9414.0,678.0,5.0,569.0,0.57,55.04,1.04,17149.0,4060.0,23.67,Europe
Venezuela,15988.0,146.0,9959.0,5883.0,525.0,4.0,213.0,0.91,62.29,1.47,12334.0,3654.0,29.63,Americas
Vietnam,431.0,0.0,365.0,66.0,11.0,0.0,0.0,0.0,84.69,0.0,384.0,47.0,12.24,Western Pacific
West Bank And Gaza,10621.0,78.0,3752.0,6791.0,152.0,2.0,0.0,0.73,35.33,2.08,8916.0,1705.0,19.12,Eastern Mediterranean
Western Sahara,10.0,1.0,8.0,1.0,0.0,0.0,0.0,10.0,80.0,12.5,10.0,0.0,0.0,Africa
Zimbabwe,2704.0,36.0,542.0,2126.0,192.0,2.0,24.0,1.33,20.04,6.64,1713.0,991.0,57.85,Africa
Asd,10.0,2.0,5.0,3.0,5.0,1.0,1.0,20.0,50.0,40.0,5.0,5.0,100.0,Europe
